#flow size in KB,cdf value
0.102541684,0.039938517
0.196849089,0.037077838
0.335569895,0.075998127
0.449768457,0.139485122
0.727526141,0.181767962
1.323532,0.209923064
2.40825349,0.24793998
4.382177441,0.288365889
7.554471515,0.344575719
12.3329796,0.395310108
19.07051922,0.450295367
27.92223693,0.492989385
41.64803304,0.558361273
53.72280027,0.607575243
81.42708657,0.682730226
106.2233706,0.728257993
147.3498865,0.788622394
209.9958882,0.840425711
315.9638922,0.887527541
559.6743434,0.941504034
1018.327611,0.977638924
1661.278103,0.991157245
